"","ROW_NAMES","SARS.CoV2_E","SARS.CoV2_M","SARS.CoV2_N","SARS.CoV2_nsp1","SARS.CoV2_nsp2","SARS.CoV2_nsp4","SARS.CoV2_nsp5","SARS.CoV2_nsp5_C145A","SARS.CoV2_nsp6","SARS.CoV2_nsp7","SARS.CoV2_nsp8","SARS.CoV2_nsp9","SARS.CoV2_nsp10","SARS.CoV2_nsp11","SARS.CoV2_nsp12","SARS.CoV2_nsp13","SARS.CoV2_nsp14","SARS.CoV2_nsp15","SARS.CoV2_orf3a","SARS.CoV2_orf3b","SARS.CoV2_orf6","SARS.CoV2_orf7a","SARS.CoV2_orf8","SARS.CoV2_orf9b","SARS.CoV2_orf9c","SARS.CoV2_orf10","SARS.CoV2_Spike","clusterNum","tsne1","tsne2"
"533","UBA1",1.410301,0,0,0,0,0.8280079,0,0,1.469314,0,0,0,0,1.990977,0,1.359409,1.978967,0,0,0,0,0,0,0,0,0,0,1,-9.98401224453691,-12.2345861856953
"534","NME2",0,0,0,0,0,0,0,0,0,0,0,0,1.510835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.232549322107986,-17.7833958391572
"535","PRKACB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.208172,0,0,0,0,0,0,0,0,0,0,0,4,-28.1080250777079,-29.5586369935838
"536","UQCRC2",0,4.092131,-0.6554861,0,7.741893,-0.4925669,0,0,-0.5314175,1.27296,0,0,0,0,0,0,0,0,-0.3475276,0,0.7533466,0.6089383,-0.02262555,0,15.48019,-0.3406668,0,2,38.5157128423519,33.1920922629847
"537","XPA",0.9196404,0,0,0,0,0,0,0,1.647452,0,0,0,0,0,0,0,0,0,0.628605,0,0,0,0,0,0,0,0,6,-2.42998849651064,5.26083044706444
"538","TCEA1",10.74885,0,0,0,5.409119,0,0,0,5.468192,0,0,0,0,8.521372,0,2.013233,0,4.775901,0,0,3.857882,0,0,0,0,0,0,1,-14.9818481282245,-12.5583479620074
"539","SFPQ",0,0,0,0,19.96744,0,0,0,16.29696,0,0,0,0,0,0,0,0,0,25.16153,0,0,0,0,0,0,0,0,1,-25.3415367204067,11.9315120556016
"540","AHCY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.91342,0,0,0,0,0,0,0,0,0,0,0,4,-29.3740259807733,-41.4135812065242
"541","EIF4B",2.388871,0,0,0,0.9332674,0,0,0,0.08055875,0,0,0,2.786529,3.986735,0,0.6203996,0,0,0,0,0.494722,0,0,0,0,0,0,1,-10.1161217131967,-15.4846026747061
"542","ATP2B4",0,1.263514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.317354,0,0,2,24.0846573624991,23.4059523377432
"543","RRM1",0,0,0,0,3.421943,0,0,0,0,0,0,0,0,0,0,4.568115,0,0,0,0,0,0,0,0,0,0,0,4,-26.8431798137821,-31.4099557952271
"544","KDELR1",0,1.634646,0,0,0,0,0,0,5.955431,0.1128327,0,0,0,0,0,0,0,0,0.09699466,0,0,0.0187867,0,0,0.1680227,0.1760453,0,6,-2.84569162508197,10.8796490302957
"545","NR2F2",0,0.7795015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11.4408630893451,0.956962916880182
"546","EEF1B2",0,0,0,0,0,0.9669333,0,0,0,0,1.968184,0,0,0,0,0.9442848,0,0,0,0.7765206,0,0,0,0,0,0,1.483066,7,-18.7159284801697,33.4186253834098
"547","ATP5PB",0,0.5720049,-0.6138464,0,1.543726,-0.194922,0,0,23.40252,3.473901,0,0,0,0,-0.3205101,0,0,0,0.5094686,0,1.56714,0,-0.9663792,0,2.550892,-0.2470175,0,6,-0.140370224325374,15.467340307769
"548","ACAT1",0,0.09079525,0,0,0,0,0,0,0,0,0,0.5530386,0,1.532557,0,0,0,0,0,0,0,0,1.561753,0.5419524,0,0,0,1,-4.56652709062593,-14.995628714746
"549","CDK2",0,0.248387,0,0,0.6519927,0,0,0,0,0.5732962,0,0,0,0,0,0.264898,0,0,0,0,0.9207467,0,0,0,0,0,0,6,4.45282825911572,1.89635067329436
"550","MCM3",0,0,0,0,0,0,0,0,0,0,0,0,30.53718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-2.84620573153735,-22.3570820540298
"551","BRD2",28.33845,0,0,0,0.1314456,0,0,0,0,0,0,0.1900832,0,0,0,0,0,0,0.03691113,0,0,0,0,0,0,0,0,1,-17.1469651970829,-9.13029186686643
"552","DNAJB2",0,1.668979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370995,0,0,2,14.5064245545996,21.4366079370074
"553","ATP5F1A",0,16.28285,0,0,18.95555,5.917055,0,0,52.091,16.17181,-8.317549,0,0,16.06347,0,0,0,0,0,0,0,1.34221,4.245154,0,4.088554,0,0,6,2.41019835120901,15.5052834838239
"554","PSMA1",0,0,0,2.464737,0.4569139,0,0,0,0.3115047,0,0,0.5155515,0,0,0,0.06981915,0,0,0,0.9005845,0,0,0,0.5044653,0,0,0.620828,1,-5.56679801614748,-0.78555000498736
"555","PSMA4",0.5864895,0.4468372,0,0,0,0.2996882,0,0,0,0,-0.08902928,0,0,0.4167282,0,0,0,0,0,0,0,0.2172462,0.5660656,0.43754,-0.1119517,0,0,6,13.1018197198253,-3.23550336384711
"556","MSN",0,0,0,0,-0.1427493,0,0,0,0,0,0,0,0.8500466,2.120803,0,32.11086,0,0,0,0,0.1260047,0,0,0.2812034,0,0,0,4,-29.0750265369977,-43.3161392967922
"557","DDX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.189462,0,0,0,0,0,0,7.904717,11.06372,1,-14.8166495906061,-0.0536906696375696
"558","DNMT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2694011,0,0,0,0,0,0,19.99725,0,0,0,0,5,30.0258781557671,-44.3975512428773
"559","RPL13",0,0,37.62687,0,0,0,0,0,0,0,34.1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-49.6032382730547,18.7945622291893
"560","PTBP1",0,0,0,0,0,0,0,0,32.48309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.740806369938413,15.7742848520928
"561","EEF1G",0,21.25913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.6955165906927,13.8468776306694
"562","STOM",0,5.765168,0,0,0,0,0,0,0.1639643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077706,0,0,2,30.1257348133139,13.4894817099754
"563","YWHAQ",0,0.02513936,0,0,0,0.9745494,0,0,-0.09936618,-0.03265347,-0.4045862,0,0,0,0.6072972,-0.2179543,0,1.421154,0.3760316,0,1.113617,0.724725,-0.1322482,0.664509,-0.2728444,0.03055913,0,1,-20.2815819854321,-13.4608496116458
"564","MARK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.70837,0,0,0,8,-2.99440250734607,-31.9575573507105
"565","CERS1",0,4.456173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.660557,0,0,2,28.2433746828345,20.8355056760674
"566","RPA1",0,0,0,0,3.421943,0,0,0,0,0,0,2.4654,0,0,0,0,0,0,3.04094,0,0,0,0,0,0,0,0,1,-18.3553285277176,13.1088372275118
"567","APEX1",0,0,0,0,0,0,0,0,19.17692,0,0,0,0,22.74848,0,15.31439,0,0,0,0,0,16.50409,0,0,0,0,0,1,-11.0042480936119,-17.3384144457433
"568","CAD",0,-1.654934,0,0,0,0,0,0,0,0,0,0.641398,0,6.144531,0.8908176,14.80377,0,0,0,0,0,1.242315,18.02528,0.1633657,-2.186585,2.235746,0.6323428,5,31.2877363340779,-43.2448963904582
"569","CALR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.91807,0,0,1.575218,0,5,29.7440002569163,-46.6226646865664
"570","CANX",11.59378,13.57742,0,0,1.961216,6.039477,0,0,9.807492,-0.8145507,0,0,0,-0.7091146,-0.7164818,0,0,0,-0.8303887,0,0,4.973076,7.108567,0,-0.6959966,15.04149,13.31174,2,37.0477803353724,10.0171544762566
"571","PSMA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230659,0,0,0,8,2.42703714472024,-24.8028447709216
"572","PSMB4",0,0,0,0,0,8.013046,0,0,0,0,0,0,0,0,0,5.480469,0,0,0,0,12.00617,0,0,0,0,0,0,6,7.88258030306392,6.87286460689634
"573","ABCD3",0,0,0,0,0,1.326136,0,0,1.205456,-0.1528454,0,0,0,0,0,0,0,0,0,0,-0.078502,0.4942209,-0.7595841,0,76.21076,-0.5566041,0,2,41.8503556820186,26.3817747460126
"574","TMOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.208172,0,0,0,0,0,0,0,0,0,0,0,4,-28.1070066362409,-29.5585558617607
"575","LOX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78201,0,0,0,0,5,28.9423942603973,-33.8972873368604
"576","NDUFS1",0,-0.03576939,0,0,0,0,0,0,0,0,0,0,0,0,2.937206,0,0,0,-0.06859135,0,0,0,0,0,13.96551,0,0,2,38.5407377706526,31.4540132205295
"577","GRN",0,0,0,0,7.170347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-22.1300451007319,1.12518542683956
"578","PCSK6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09230022,7.952593,0,0,2.859607,0,5,26.8062837842722,-36.2118078976315
"579","PML",0,0,0,0,0,1.75432,0,0,0,0,0,0,0,0,1.97699,0,0,0,0,0,0,0,0,0,0,0,0,8,5.53800100506524,-44.524387038109
"580","MARCKS",0,0.05220266,0,0,0,0,0,0,0.3103992,4.616297,0,0,0,0,0,0,0,0,0.3612739,0,0,0,0,0,-0.04613198,0,0,3,42.0293316507031,-9.75156941395495
"581","ERP29",0,0,0,0,1.151816,0,0,0,0.1882021,0,0,0,0,5.787564,0,0.9465916,0,0,0,0,0,0,0,0,0,0,0.4975254,1,-8.61250715006274,-16.501823318297
"582","PRDX6",0,0,0,0,0,18.77641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.41102412272453,-13.8755604240164
"583","PRDX3",0,2.691812,0,0,0,0,0,0,9.287117,0,0,0,0,0,0,2.891945,0,0,0,14.37443,0,5.490155,0,0,0,0,0,1,-11.4840043896806,8.07849625141194
"584","ATP5F1D",0,0.2826843,0,0,2.381912,0,0,0,2.635129,1.267258,0,0,0,0,0.1504053,0,0,0,0,0,1.286172,0,0,0,1.355696,0,0,1,-6.5442148324195,9.5441575722385
"585","RPL12",0,0,18.10783,0,0,0,0,0,0,0,16.79932,0,0,0,0,0,0,0,8.124895,0,0,0,0,0,0,0,0,7,-44.9752829110743,21.4924547512318
